name,date,amount,category,account,payment_method,vendor,project,location,description,tags,items
Likely.,2025-04-04,2998.84,Utilities,Cash,Cash,James-Anderson,Streamline Leading-Edge E-Business,Joseburgh,Official old school season order food really.,"[""production"", ""listen"", ""professor""]","[{""itemname"": ""Assume"", ""quantity"": 2, ""unitprice"": 1499.42, ""total"": 2998.84}]"
If feel edge.,2025-02-22,10147.3,Transport,Global IME,Card,Patterson Ltd,Envisioneer Bricks-And-Clicks Portals,Andrewchester,Treat director dark career begin understand bar.,[],"[{""itemname"": ""World"", ""quantity"": 5, ""unitprice"": 1689.11, ""total"": 8445.55}, {""itemname"": ""A"", ""quantity"": 1, ""unitprice"": 1701.75, ""total"": 1701.75}]"
Feeling newspaper among.,2025-07-01,5619.6,Shopping,Khalti,Cash,"Flowers, Spence and Brown",Incentivize Impactful Experiences,Evelynmouth,South with worry treatment member study.,[],"[{""itemname"": ""American"", ""quantity"": 3, ""unitprice"": 1873.2, ""total"": 5619.6}]"
Speech choice.,2025-02-11,22939.68,Shopping,Khalti,Online,"Howard, Montes and Brown",Monetize Seamless Methodologies,South Mackenzie,Information mean understand yeah difficult understand.,"[""strategy"", ""wish""]","[{""itemname"": ""My"", ""quantity"": 4, ""unitprice"": 1497.63, ""total"": 5990.52}, {""itemname"": ""Water"", ""quantity"": 1, ""unitprice"": 979.41, ""total"": 979.41}, {""itemname"": ""International"", ""quantity"": 2, ""unitprice"": 1597.95, ""total"": 3195.9}, {""itemname"": ""Almost"", ""quantity"": 3, ""unitprice"": 1315.95, ""total"": 3947.85}, {""itemname"": ""Pretty"", ""quantity"": 5, ""unitprice"": 1765.2, ""total"": 8826.0}]"
South analysis morning.,2026-01-08,8973.3,Education,Global IME,Card,Brewer Group,Transition B2B Markets,Lake Timothy,Listen box major here as hot lot.,"[""wonder"", ""level"", ""design""]","[{""itemname"": ""Similar"", ""quantity"": 5, ""unitprice"": 1794.66, ""total"": 8973.3}]"
Be western future.,2026-01-25,1940.5,Health,Global IME,Cheque,Mccarthy Inc,Unleash Clicks-And-Mortar Channels,Lauraview,Stop nor feel interest night still.,[],"[{""itemname"": ""Third"", ""quantity"": 2, ""unitprice"": 970.25, ""total"": 1940.5}]"
Yourself address always.,2025-10-04,13795.52,Utilities,eSewa,Cash,Hubbard Inc,Benchmark Holistic E-Markets,Jacquelinestad,Beat realize half option early.,"[""seek"", ""floor""]","[{""itemname"": ""Total"", ""quantity"": 1, ""unitprice"": 1549.1, ""total"": 1549.1}, {""itemname"": ""Recently"", ""quantity"": 5, ""unitprice"": 1175.95, ""total"": 5879.75}, {""itemname"": ""Tax"", ""quantity"": 3, ""unitprice"": 1687.76, ""total"": 5063.28}, {""itemname"": ""Wonder"", ""quantity"": 1, ""unitprice"": 1303.39, ""total"": 1303.39}]"
Send necessary.,2025-06-06,8210.19,Food,Khalti,Cash,Ellis-Smith,Empower Cross-Platform E-Markets,North Elizabethberg,Party common number.,"[""boy"", ""too"", ""large""]","[{""itemname"": ""Development"", ""quantity"": 4, ""unitprice"": 327.4, ""total"": 1309.6}, {""itemname"": ""Just"", ""quantity"": 4, ""unitprice"": 1405.19, ""total"": 5620.76}, {""itemname"": ""Best"", ""quantity"": 1, ""unitprice"": 892.41, ""total"": 892.41}, {""itemname"": ""Enter"", ""quantity"": 1, ""unitprice"": 387.42, ""total"": 387.42}]"
Fact know personal within.,2025-09-22,11256.12,Utilities,NIC Asia,Online,Church-Reyes,Seize Mission-Critical Users,Duncantown,Relate that dream.,[],"[{""itemname"": ""Investment"", ""quantity"": 3, ""unitprice"": 1198.42, ""total"": 3595.26}, {""itemname"": ""Yeah"", ""quantity"": 2, ""unitprice"": 1157.55, ""total"": 2315.1}, {""itemname"": ""These"", ""quantity"": 3, ""unitprice"": 1781.92, ""total"": 5345.76}]"
Science myself still.,2025-08-10,12704.72,Health,eSewa,Online,Woodward PLC,Orchestrate Value-Added Content,Port Anna,Such down beautiful second.,"[""suddenly"", ""item"", ""something""]","[{""itemname"": ""Near"", ""quantity"": 5, ""unitprice"": 513.56, ""total"": 2567.8}, {""itemname"": ""Nor"", ""quantity"": 4, ""unitprice"": 1076.56, ""total"": 4306.24}, {""itemname"": ""Record"", ""quantity"": 1, ""unitprice"": 1194.6, ""total"": 1194.6}, {""itemname"": ""Trip"", ""quantity"": 4, ""unitprice"": 827.46, ""total"": 3309.84}, {""itemname"": ""Effect"", ""quantity"": 4, ""unitprice"": 331.56, ""total"": 1326.24}]"
Itself can each.,2025-08-02,16106.64,Shopping,Nabil Bank,Cheque,"Ward, Hernandez and Boyd",Implement Synergistic Vortals,Stevenstad,His cold coach every network.,"[""crime"", ""level"", ""team""]","[{""itemname"": ""Institution"", ""quantity"": 3, ""unitprice"": 1160.58, ""total"": 3481.74}, {""itemname"": ""Accept"", ""quantity"": 5, ""unitprice"": 455.62, ""total"": 2278.1}, {""itemname"": ""Believe"", ""quantity"": 5, ""unitprice"": 1775.45, ""total"": 8877.25}, {""itemname"": ""Couple"", ""quantity"": 1, ""unitprice"": 1469.55, ""total"": 1469.55}]"
Degree beyond.,2025-06-11,16309.16,Shopping,Khalti,Online,Hayes-Young,Mesh Efficient Synergies,South John,Race say join consider focus.,"[""officer"", ""suddenly""]","[{""itemname"": ""Consumer"", ""quantity"": 5, ""unitprice"": 1250.52, ""total"": 6252.6}, {""itemname"": ""Thus"", ""quantity"": 3, ""unitprice"": 696.8, ""total"": 2090.4}, {""itemname"": ""Hospital"", ""quantity"": 4, ""unitprice"": 1991.54, ""total"": 7966.16}]"
Agreement firm.,2025-07-02,4852.44,Health,Nabil Bank,Cheque,Oliver-Lutz,Target One-To-One E-Commerce,Port Rebeccaland,May chance major another true summer page.,"[""most"", ""region"", ""policy""]","[{""itemname"": ""Federal"", ""quantity"": 1, ""unitprice"": 952.84, ""total"": 952.84}, {""itemname"": ""When"", ""quantity"": 3, ""unitprice"": 514.15, ""total"": 1542.45}, {""itemname"": ""Until"", ""quantity"": 2, ""unitprice"": 243.29, ""total"": 486.58}, {""itemname"": ""Poor"", ""quantity"": 5, ""unitprice"": 106.58, ""total"": 532.9}, {""itemname"": ""Mother"", ""quantity"": 1, ""unitprice"": 1337.67, ""total"": 1337.67}]"
Field authority TV.,2025-04-15,10497.46,Shopping,Global IME,Online,"Harris, Lee and Cole",Deploy Back-End Synergies,Karenfurt,Bill power Republican long.,"[""land"", ""concern""]","[{""itemname"": ""Dark"", ""quantity"": 4, ""unitprice"": 1946.11, ""total"": 7784.44}, {""itemname"": ""Success"", ""quantity"": 2, ""unitprice"": 451.57, ""total"": 903.14}, {""itemname"": ""Foot"", ""quantity"": 1, ""unitprice"": 1809.88, ""total"": 1809.88}]"
Boy language.,2025-11-26,10893.93,Health,Cash,Cheque,Mendoza Group,Deploy Intuitive Portals,Michaelfort,Place onto must each.,"[""himself"", ""follow""]","[{""itemname"": ""Skill"", ""quantity"": 3, ""unitprice"": 73.51, ""total"": 220.53}, {""itemname"": ""Box"", ""quantity"": 1, ""unitprice"": 1995.04, ""total"": 1995.04}, {""itemname"": ""Gun"", ""quantity"": 4, ""unitprice"": 1705.24, ""total"": 6820.96}, {""itemname"": ""Party"", ""quantity"": 4, ""unitprice"": 464.35, ""total"": 1857.4}]"
Rather particularly.,2025-07-22,12356.99,Transport,Global IME,Cheque,Woods-Henry,Matrix Real-Time Platforms,Jamesmouth,Network sure really turn.,"[""debate""]","[{""itemname"": ""Treatment"", ""quantity"": 4, ""unitprice"": 1595.16, ""total"": 6380.64}, {""itemname"": ""Music"", ""quantity"": 4, ""unitprice"": 1386.99, ""total"": 5547.96}, {""itemname"": ""Know"", ""quantity"": 1, ""unitprice"": 428.39, ""total"": 428.39}]"
Center air will.,2025-08-17,15486.88,Shopping,eSewa,Card,"Park, Shaw and Potts",Syndicate Clicks-And-Mortar Markets,West Ericaview,Five traditional consider water word economic career.,"[""on""]","[{""itemname"": ""Building"", ""quantity"": 2, ""unitprice"": 437.23, ""total"": 874.46}, {""itemname"": ""Law"", ""quantity"": 1, ""unitprice"": 1838.15, ""total"": 1838.15}, {""itemname"": ""Food"", ""quantity"": 5, ""unitprice"": 1366.89, ""total"": 6834.45}, {""itemname"": ""Summer"", ""quantity"": 3, ""unitprice"": 1979.94, ""total"": 5939.82}]"
Information today process.,2025-09-26,248.88,Utilities,NIC Asia,Cash,Reyes Inc,Aggregate Efficient Infrastructures,Christophermouth,Ahead risk force pass rest.,"[""hospital"", ""answer"", ""nation""]","[{""itemname"": ""Explain"", ""quantity"": 1, ""unitprice"": 248.88, ""total"": 248.88}]"
Almost.,2025-02-24,7184.14,Utilities,NIC Asia,Cash,Harrison-Oneill,Deploy Enterprise Interfaces,Masonbury,Life support five force matter before indeed.,"[""system"", ""realize"", ""PM""]","[{""itemname"": ""Right"", ""quantity"": 3, ""unitprice"": 1799.54, ""total"": 5398.62}, {""itemname"": ""Heart"", ""quantity"": 4, ""unitprice"": 56.7, ""total"": 226.8}, {""itemname"": ""Top"", ""quantity"": 4, ""unitprice"": 389.68, ""total"": 1558.72}]"
Western source.,2025-07-22,17088.3,Education,Khalti,Card,Hernandez-Moore,Utilize Plug-And-Play Paradigms,New Jeffrey,Thing defense light.,"[""meeting"", ""exist""]","[{""itemname"": ""Rise"", ""quantity"": 3, ""unitprice"": 1871.32, ""total"": 5613.96}, {""itemname"": ""With"", ""quantity"": 5, ""unitprice"": 1546.4, ""total"": 7732.0}, {""itemname"": ""Picture"", ""quantity"": 2, ""unitprice"": 1620.64, ""total"": 3241.28}, {""itemname"": ""Outside"", ""quantity"": 2, ""unitprice"": 250.53, ""total"": 501.06}]"
Gun politics.,2025-05-01,5995.19,Health,Cash,Card,Madden Inc,Scale Robust Partnerships,Mooreshire,Serve campaign yet.,[],"[{""itemname"": ""Few"", ""quantity"": 2, ""unitprice"": 1417.0, ""total"": 2834.0}, {""itemname"": ""Consumer"", ""quantity"": 3, ""unitprice"": 1053.73, ""total"": 3161.19}]"
Speak consumer.,2025-07-21,1546.27,Rent,eSewa,Online,"Jones, Hull and Smith",Grow 24/365 Metrics,Brianview,Thing how add like authority child performance.,"[""easy"", ""finish""]","[{""itemname"": ""Rich"", ""quantity"": 1, ""unitprice"": 1546.27, ""total"": 1546.27}]"
Again age.,2025-07-30,5518.36,Health,Khalti,Online,"Sweeney, Hill and Reynolds",Redefine Dynamic Niches,North Shawn,Beat leave cultural create.,"[""as""]","[{""itemname"": ""There"", ""quantity"": 4, ""unitprice"": 337.19, ""total"": 1348.76}, {""itemname"": ""Building"", ""quantity"": 5, ""unitprice"": 194.76, ""total"": 973.8}, {""itemname"": ""Program"", ""quantity"": 5, ""unitprice"": 639.16, ""total"": 3195.8}]"
Whole.,2025-04-11,11882.11,Entertainment,eSewa,Online,Perez-Smith,Scale Visionary Supply-Chains,Christophertown,Public less bank pretty amount.,"[""other""]","[{""itemname"": ""Vote"", ""quantity"": 5, ""unitprice"": 1778.19, ""total"": 8890.95}, {""itemname"": ""Far"", ""quantity"": 4, ""unitprice"": 747.79, ""total"": 2991.16}]"
Compare hot.,2025-09-11,1176.9,Health,Cash,Card,"Patel, Saunders and Mitchell",Maximize Mission-Critical Models,North Jessicachester,Officer wife social identify show.,"[""city"", ""idea"", ""weight""]","[{""itemname"": ""Property"", ""quantity"": 2, ""unitprice"": 588.45, ""total"": 1176.9}]"
